id;code;name;description;rate;unit;service_group
1;zen doubtfully;yahoo;for noteworthy reproachfully;24500.01;PER_MODULE;SERVICES
2;surprisingly;huzzah hidden gust;yet seagull;7020.42;PER_MODULE;SOLUTIONS
3;but;gosh camouflage;besides out;7517.96;PER_SCOPE;SERVICES
4;dimly starboard hose;boo shovel;given rally excluding;4522.31;PER_DATASET;SERVICES
5;meal;yum wriggler unto;programme homeschool;28048.86;PER_PROCESS;CONSULTANCY
6;jaggedly concerning;wherever;out;21276.73;PER_SCOPE;SERVICES
7;plus ouch grizzled;fooey;doodle orient;27942.98;PER_SCOPE;SOLUTIONS
8;absentmindedly gosh;nearly inwardly till;hm;31396.14;PER_ENVIRONMENT;CONSULTANCY
9;huzzah unblinking;aw;provided after;3017.31;PER_PHASE;CONSULTANCY
10;before whopping juve;nor;mid;4527.79;PER_ENVIRONMENT;SERVICES
11;next;now heartbeat;aw;19928.27;PER_INTEGRATION;TRAINING
12;shabby than ah;exterior blindly oof;linear without among;21038.62;PER_COHORT;CONSULTANCY
13;um upbeat ew;dutiful orient;relieve;27278.66;PER_MONTH;CONSULTANCY
14;festival instead;makeover why;distinction hence;18223.96;PER_PROCESS;SOLUTIONS
15;mockingly obedience;hollow flat abscond;along grimy reservation;8736.08;PER_PHASE;SERVICES
16;fuzzy about;following fragrant as;puppet decryption;23887.99;PER_COHORT;CONSULTANCY
17;pish gleefully repor;since excluding whose;yuck openly uselessly;27527.36;PER_PHASE;TRAINING
18;shyly;skeleton ferociously;CD so pushy;762.53;PER_DATASET;CONSULTANCY
19;knitting limply pres;requite now versus;materialise witty;3891.09;PER_INTEGRATION;CONSULTANCY
20;tooth amazing onto;tough;correctly snappy likewise;31415.87;PER_PROCESS;CONSULTANCY
21;foolishly ick after;courteous;obnoxiously uh-huh;10675.37;PER_SCOPE;CONSULTANCY
22;extra-large;fort yet;scrap;4213.2;PER_INTEGRATION;CONSULTANCY
23;instead than;suspiciously however untrue;viciously nor before;15428.53;PER_PROCESS;TRAINING
24;ew stealthily operat;competent yawningly geez;huzzah battle delicious;14365.23;PER_PHASE;TRAINING
25;athwart grandson how;burgeon croon;dutiful earth;1386.05;PER_ENVIRONMENT;SOLUTIONS
26;abnegate atop;er;indeed despite warped;14843.44;PER_DATASET;SERVICES
27;black-and-white;definite from;curly curse since;27000.1;PER_PROCESS;SERVICES
28;towards delightfully;boohoo ouch;petticoat versus devil;20440.14;PER_PHASE;CONSULTANCY
29;gosh;meanwhile;inasmuch;24847.95;PER_MODULE;SOLUTIONS
30;phooey yowza;knotty;marksman mobility;24319.18;PER_PROCESS;SERVICES
